test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-01-21,NIFTY 21 JAN 23350 CE,CE,23350,General Buy / Sell,85.0,11:51:00 IST,11:57:00 IST,2.99,3.05,-11.95,2.01,Success,time_cutoff_6m
2025-01-21,NIFTY 21 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,13:03:00 IST,13:09:00 IST,4.49,4.0875,-10.51,-8.96,Failure,time_cutoff_6m
2025-01-22,NIFTY 22 JAN 23100 PE,PE,23100,General Buy / Sell,85.0,10:42:00 IST,10:48:00 IST,1.99,1.675,-13.01,-15.83,Failure,time_cutoff_6m
2025-01-22,NIFTY 22 JAN 23050 CE,CE,23050,General Buy / Sell,85.0,14:17:00 IST,14:23:00 IST,45.45,44.1125,30.45,-2.94,Failure,time_cutoff_6m
2025-01-22,NIFTY 22 JAN 23100 CE,CE,23100,General Buy / Sell,85.0,14:25:00 IST,14:31:00 IST,30.57,31.35,16.35,2.55,Success,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,10:04:00 IST,10:10:00 IST,44.38,44.35,29.38,-0.07,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,12:21:00 IST,12:27:00 IST,55.9,55.7,40.9,-0.36,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,12:57:00 IST,13:03:00 IST,44.64,44.75,29.75,0.25,Success,time_cutoff_6m
2025-01-24,NIFTY 24 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,10:20:00 IST,10:26:00 IST,44.91,40.0375,29.91,-10.85,Failure,time_cutoff_6m
2025-01-24,NIFTY 24 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,11:18:00 IST,11:24:00 IST,50.85,49.725,35.85,-2.21,Failure,time_cutoff_6m
2025-01-24,NIFTY 24 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,12:32:00 IST,12:56:00 IST,41.16,51.0125,36.01,23.94,Success,time_cutoff_24m
2025-01-27,NIFTY 27 JAN 22950 PE,PE,22950,General Buy / Sell,85.0,10:19:00 IST,10:25:00 IST,47.84,46.825,34.77,-2.12,Failure,time_cutoff_6m
2025-01-27,NIFTY 27 JAN 22850 PE,PE,22850,General Buy / Sell,85.0,10:40:00 IST,10:46:00 IST,32.52,33.825,18.83,4.01,Success,time_cutoff_6m
2025-01-27,NIFTY 27 JAN 22900 PE,PE,22900,General Buy / Sell,85.0,12:43:00 IST,12:49:00 IST,22.7,22.625,7.7,-0.33,Failure,time_cutoff_6m
2025-01-28,NIFTY 28 JAN 23000 CE,CE,23000,General Buy / Sell,85.0,11:42:00 IST,11:48:00 IST,48.1,49.6,34.6,3.12,Success,time_cutoff_6m
2025-01-28,NIFTY 28 JAN 23050 CE,CE,23050,General Buy / Sell,85.0,13:15:00 IST,13:21:00 IST,46.83,48.1,33.1,2.71,Success,time_cutoff_6m
2025-01-29,NIFTY 29 JAN 23100 PE,PE,23100,General Buy / Sell,95.0,11:19:00 IST,11:31:00 IST,6.93,7.1375,-6.45,2.99,Success,time_cutoff_12m
2025-01-29,NIFTY 29 JAN 23100 CE,CE,23100,General Buy / Sell,85.0,11:50:00 IST,11:56:00 IST,52.02,49.875,37.02,-4.12,Failure,time_cutoff_6m
2025-01-29,NIFTY 29 JAN 23150 CE,CE,23150,General Buy / Sell,85.0,13:28:00 IST,13:34:00 IST,29.66,24.975,14.66,-15.8,Failure,time_cutoff_6m
2025-01-29,NIFTY 29 JAN 23150 PE,PE,23150,General Buy / Sell,95.0,14:28:00 IST,14:34:00 IST,9.22,8.2375,-5.78,-10.66,Failure,time_cutoff_6m
2025-01-30,NIFTY 30 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,11:07:00 IST,11:13:00 IST,47.85,50.0625,35.06,4.62,Success,time_cutoff_6m
2025-01-30,NIFTY 30 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,13:54:00 IST,14:06:00 IST,35.06,36.25,21.25,3.39,Success,time_cutoff_12m
2025-01-31,NIFTY 31 JAN 23400 CE,CE,23400,General Buy / Sell,85.0,10:34:00 IST,10:40:00 IST,88.24,86.7625,73.24,-1.67,Failure,time_cutoff_6m
2025-01-31,NIFTY 31 JAN 23500 CE,CE,23500,General Buy / Sell,85.0,13:28:00 IST,13:52:00 IST,34.18,40.875,27.33,19.59,Success,time_cutoff_24m
2025-01-31,NIFTY 31 JAN 23500 PE,PE,23500,General Buy / Sell,95.0,14:02:00 IST,14:08:00 IST,41.46,41.4375,26.46,-0.05,Failure,time_cutoff_6m
2025-01-31,NIFTY 31 JAN 23450 PE,PE,23450,General Buy / Sell,95.0,14:10:00 IST,14:16:00 IST,32.07,31.55,17.07,-1.62,Failure,time_cutoff_6m
2025-02-03,NIFTY 3 FEB 23300 PE,PE,23300,General Buy / Sell,95.0,11:32:00 IST,11:38:00 IST,13.28,12.575,-1.72,-5.31,Failure,time_cutoff_6m
2025-02-03,NIFTY 3 FEB 23300 CE,CE,23300,General Buy / Sell,85.0,13:04:00 IST,13:10:00 IST,88.89,87.75,73.89,-1.28,Failure,time_cutoff_6m
2025-02-04,NIFTY 4 FEB 23500 PE,PE,23500,General Buy / Sell,95.0,10:35:00 IST,10:41:00 IST,2.99,2.8375,-12.01,-5.1,Failure,time_cutoff_6m
2025-02-04,NIFTY 4 FEB 23450 PE,PE,23450,General Buy / Sell,95.0,10:43:00 IST,10:49:00 IST,2.26,2.1125,-12.74,-6.53,Failure,time_cutoff_6m
2025-02-05,NIFTY 5 FEB 23750 PE,PE,23750,General Buy / Sell,95.0,10:07:00 IST,10:19:00 IST,34.3,39.0,24.0,13.7,Success,time_cutoff_12m
2025-02-06,NIFTY 6 FEB 23600 PE,PE,23600,General Buy / Sell,95.0,12:37:00 IST,12:43:00 IST,36.74,38.3875,23.39,4.48,Success,time_cutoff_6m
2025-02-07,NIFTY 7 FEB 23600 PE,PE,23600,General Buy / Sell,95.0,12:22:00 IST,12:28:00 IST,40.89,36.25,25.89,-11.35,Failure,time_cutoff_6m
2025-02-10,NIFTY 10 FEB 23400 PE,PE,23400,General Buy / Sell,85.0,10:12:00 IST,10:18:00 IST,46.11,47.3375,32.34,2.66,Success,time_cutoff_6m
2025-02-10,NIFTY 10 FEB 23350 CE,CE,23350,General Buy / Sell,85.0,13:53:00 IST,13:59:00 IST,9.73,9.7375,-5.26,0.08,Success,time_cutoff_6m
2025-02-11,NIFTY 11 FEB 23250 PE,PE,23250,General Buy / Sell,85.0,11:59:00 IST,12:05:00 IST,59.21,53.325,44.21,-9.94,Failure,time_cutoff_6m
2025-02-11,NIFTY 11 FEB 23200 PE,PE,23200,General Buy / Sell,85.0,12:57:00 IST,13:03:00 IST,43.16,42.0375,28.16,-2.6,Failure,time_cutoff_6m
2025-02-11,NIFTY 11 FEB 23150 PE,PE,23150,General Buy / Sell,85.0,13:05:00 IST,13:11:00 IST,34.1,32.0,19.1,-6.16,Failure,time_cutoff_6m
2025-02-11,NIFTY 11 FEB 23050 PE,PE,23050,General Buy / Sell,85.0,13:30:00 IST,13:36:00 IST,15.29,14.1875,0.29,-7.21,Failure,time_cutoff_6m
2025-02-12,NIFTY 12 FEB 22900 PE,PE,22900,General Buy / Sell,85.0,09:47:00 IST,09:53:00 IST,4.36,3.525,-10.64,-19.15,Failure,time_cutoff_6m
2025-02-12,NIFTY 12 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,10:39:00 IST,10:51:00 IST,73.97,75.0125,65.29,1.41,Success,time_cutoff_12m
2025-02-12,NIFTY 12 FEB 23050 CE,CE,23050,General Buy / Sell,85.0,12:01:00 IST,12:07:00 IST,48.39,47.525,33.39,-1.79,Failure,time_cutoff_6m
2025-02-12,NIFTY 12 FEB 23100 CE,CE,23100,General Buy / Sell,85.0,12:52:00 IST,12:58:00 IST,27.88,27.175,12.88,-2.53,Failure,time_cutoff_6m
2025-02-13,NIFTY 13 FEB 23200 CE,CE,23200,General Buy / Sell,85.0,10:40:00 IST,10:46:00 IST,21.77,20.3875,6.77,-6.35,Failure,time_cutoff_6m
2025-02-13,NIFTY 13 FEB 23200 PE,PE,23200,General Buy / Sell,85.0,12:23:00 IST,12:29:00 IST,100.57,96.6375,85.57,-3.91,Failure,time_cutoff_6m
2025-02-13,NIFTY 13 FEB 23150 PE,PE,23150,General Buy / Sell,95.0,13:27:00 IST,13:33:00 IST,86.25,83.7875,71.25,-2.86,Failure,time_cutoff_6m
2025-02-13,NIFTY 13 FEB 23100 PE,PE,23100,General Buy / Sell,95.0,13:36:00 IST,14:00:00 IST,75.61,83.9375,70.11,11.01,Success,time_cutoff_24m
2025-02-14,NIFTY 14 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,12:02:00 IST,12:08:00 IST,43.95,40.25,28.95,-8.42,Failure,time_cutoff_6m
2025-02-17,NIFTY 17 FEB 22800 CE,CE,22800,General Buy / Sell,85.0,10:23:00 IST,10:29:00 IST,46.9,42.7,31.9,-8.96,Failure,time_cutoff_6m
2025-02-17,NIFTY 17 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,10:45:00 IST,10:51:00 IST,30.68,29.75,15.68,-3.03,Failure,time_cutoff_6m
2025-02-17,NIFTY 17 FEB 22850 CE,CE,22850,General Buy / Sell,85.0,12:47:00 IST,12:53:00 IST,39.42,39.3125,24.42,-0.27,Failure,time_cutoff_6m
2025-02-18,NIFTY 18 FEB 22850 CE,CE,22850,General Buy / Sell,85.0,11:50:00 IST,11:56:00 IST,45.44,46.65,31.65,2.66,Success,time_cutoff_6m
2025-02-18,NIFTY 18 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,13:37:00 IST,13:43:00 IST,31.1,32.375,17.38,4.1,Success,time_cutoff_6m
2025-02-19,NIFTY 19 FEB 23000 PE,PE,23000,General Buy / Sell,85.0,10:51:00 IST,10:57:00 IST,32.7,30.1125,17.7,-7.91,Failure,time_cutoff_6m
2025-02-19,NIFTY 19 FEB 22950 PE,PE,22950,General Buy / Sell,85.0,10:58:00 IST,11:04:00 IST,19.77,16.1375,4.77,-18.37,Failure,time_cutoff_6m
2025-02-19,NIFTY 19 FEB 23000 CE,CE,23000,General Buy / Sell,85.0,12:06:00 IST,12:12:00 IST,2.08,1.7375,-12.92,-16.47,Failure,time_cutoff_6m
2025-02-20,NIFTY 20 FEB 22900 PE,PE,22900,General Buy / Sell,85.0,11:49:00 IST,11:55:00 IST,46.4,46.55,31.67,0.32,Success,time_cutoff_6m
2025-02-20,NIFTY 20 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,13:52:00 IST,13:58:00 IST,24.97,25.375,10.38,1.62,Success,time_cutoff_6m
2025-02-21,NIFTY 21 FEB 22800 CE,CE,22800,General Buy / Sell,85.0,11:42:00 IST,11:48:00 IST,46.51,44.225,31.51,-4.91,Failure,time_cutoff_6m
2025-02-24,NIFTY 24 FEB 22600 CE,CE,22600,General Buy / Sell,85.0,11:52:00 IST,11:58:00 IST,12.66,12.85,-2.15,1.5,Success,time_cutoff_6m
2025-02-24,NIFTY 24 FEB 22600 PE,PE,22600,General Buy / Sell,95.0,12:05:00 IST,12:11:00 IST,15.19,14.45,0.19,-4.87,Failure,time_cutoff_6m
2025-02-25,NIFTY 25 FEB 22600 PE,PE,22600,General Buy / Sell,85.0,10:20:00 IST,10:26:00 IST,18.56,17.9375,3.56,-3.35,Failure,time_cutoff_6m
2025-02-25,NIFTY 25 FEB 22550 CE,CE,22550,General Buy / Sell,85.0,11:47:00 IST,11:53:00 IST,20.48,20.275,5.48,-1.0,Failure,time_cutoff_6m
2025-02-27,NIFTY 27 FEB 22550 PE,PE,22550,General Buy / Sell,85.0,11:32:00 IST,11:38:00 IST,69.6,70.1375,55.14,0.77,Success,time_cutoff_6m
2025-02-28,NIFTY 28 FEB 22250 PE,PE,22250,General Buy / Sell,95.0,12:05:00 IST,12:11:00 IST,30.41,29.25,15.41,-3.81,Failure,time_cutoff_6m
2025-03-03,NIFTY 3 MAR 22050 CE,CE,22050,General Buy / Sell,85.0,12:20:00 IST,12:26:00 IST,25.81,25.875,10.88,0.25,Success,time_cutoff_6m
2025-03-03,NIFTY 3 MAR 22100 CE,CE,22100,General Buy / Sell,85.0,12:43:00 IST,12:49:00 IST,21.06,19.875,6.06,-5.63,Failure,time_cutoff_6m
2025-03-03,NIFTY 3 MAR 22150 CE,CE,22150,General Buy / Sell,85.0,13:17:00 IST,13:23:00 IST,13.02,13.1625,-1.84,1.09,Success,time_cutoff_6m
2025-03-04,NIFTY 4 MAR 22050 CE,CE,22050,General Buy / Sell,85.0,13:20:00 IST,13:26:00 IST,76.9,76.025,61.9,-1.14,Failure,time_cutoff_6m
